row ID,Activity,a_acc,a_don,density,FCharge,logP(o/w),logS,PC+,PC-,TPSA,Weight
7015,1,0.025,0,0.135918,0,0.544331,0.699742,0,0,0.066441,0.076019
7018,0,0.025,0,0.08448,0,0.561153,0.682703,0,0,0.083678,0.098353
4586,0,0.075,0,0.091812,0,0.653627,0.554432,0,0,0.088113,0.247216
6412,1,0.075,0.12,0.083268,0,0.564287,0.721605,0,0,0.07801,0.112757
195,0,0,0,0.03429,0,0.581463,0.689204,0,0,0,0.057335
6425,1,0.025,0.04,0.047314,0,0.603459,0.679422,0,0,0.026003,0.103147
352,1,0,0,0.03063,0,0.598427,0.675642,0,0,0,0.083846
2531,0,0.05,0,0.06222,0,0.616112,0.65598,0,0,0.067611,0.164691
2760,0,0.1,0.08,0.10214,0,0.477458,0.782367,0,0,0.090619,0.115162
3219,1,0,0,0.251715,0,0.648565,0.595667,0,0,0,0.202572
485,0,0.025,0,0.062399,0,0.563784,0.715604,0,0,0.033805,0.109192
6509,1,0.075,0.04,0.068547,0,0.597546,0.653014,0,0,0.057778,0.124827
796,1,0.1,0.12,0.107254,0,0.527687,0.662663,0,0,0.131764,0.154953
1661,0,0.05,0.04,0.052287,0,0.555536,0.758502,0,0,0.030168,0.115834
6156,0,0.1,0.16,0.177465,0,0.439497,0.883607,0,0,0.095889,0.046402
6944,1,0.05,0.08,0.204146,0,0.436866,0.854599,0,0,0.063408,0.049686
3759,0,0.125,0.08,0.115889,0,0.475004,0.735727,0,0,0.094244,0.192946
6339,1,0.1,0.04,0.152023,0,0.555092,0.630844,0,0,0.086455,0.19705
2632,0,0.075,0,0.063328,0,0.602121,0.658822,0,0,0.049834,0.19663
4918,1,0,0.04,0.054416,0,0.552757,0.68648,0,0,0.033446,0.084441
4917,1,0,0.04,0.052036,0,0.567007,0.65014,0,0,0.033446,0.091676
6426,0,0.1,0.16,0.083994,0,0.592698,0.670132,0,0,0.099951,0.168232
3963,0,0.05,0,0.084567,0,0.48541,0.821019,0,0,0.055747,0.070562
6756,1,0.175,0.16,0.177367,0,0.388352,0.846014,0,0,0.1812,0.122371
1075,0,0.025,0,0.052697,0,0.524848,0.773517,0,0,0.033805,0.077824
2243,1,0,0,0.031024,0.333333,0.681833,0.560483,0,0,0.011324,0.160523
4553,1,0.05,0.04,0.295035,0,0.561803,0.71466,0,0,0.042572,0.159292
5338,0,0.05,0.08,0.198391,0,0.582143,0.592132,0,0,0.074809,0.204836
2113,1,0.075,0.12,0.078527,0,0.630126,0.535225,0,0,0.069886,0.171941
4597,0,0.05,0.04,0.063824,0,0.447036,0.842647,0,0,0.064025,0.025943
475,1,0.05,0.04,0.055844,0,0.531264,0.678196,0,0,0.0486,0.109765
6451,0,0.025,0.04,0.138977,0,0.50031,0.779175,0,0,0.084899,0.059065
1646,0,0.1,0.04,0.441075,0,0.507924,0.763536,0,0,0.103229,0.144625
6907,1,0.1,0.04,0.062695,0,0.737945,0.403541,0,0,0.105478,0.321531
3060,1,0.05,0,0.087438,0,0.551308,0.718026,0,0,0.03797,0.13777
5454,0,0.075,0.08,0.091964,0,0.480443,0.815071,0,0,0.092586,0.088033
3029,1,0.075,0.08,0.089208,0,0.499187,0.710255,0,0,0.103242,0.170044
4076,0,0.125,0,0.098812,0,0.467095,0.776869,0,0,0.073562,0.144719
1083,0,0.15,0.24,0.106164,0.333333,0.580754,0.583156,0,0,0.147806,0.303977
2884,1,0.075,0,0.114895,0,0.580244,0.59151,0,0,0.090992,0.193192
6417,1,0.075,0.08,0.13632,0,0.521419,0.685369,0,0,0.155081,0.141051
6469,0,0.125,0.2,0.108837,0,0.515211,0.792266,0,0,0.119476,0.139888
6750,1,0.175,0.16,0.144136,0,0.422853,0.776233,0,0,0.182845,0.168211
6994,0,0.05,0.08,0.113253,0,0.513496,0.710977,0,0,0.086737,0.065748
3318,1,0.05,0.04,0.120447,0,0.525588,0.756631,0,0,0.042572,0.083458
4050,0,0.075,0,0.106094,0,0.511101,0.672468,0,0,0.074424,0.132031
724,0,0.05,0,0.066618,0,0.585159,0.747361,0,0,0.067611,0.147793
4329,1,0.05,0,0.083752,0,0.551633,0.70556,0,0,0.03797,0.146219
2128,0,0.025,0.04,0.028731,0,0.690939,0.501954,0,0,0.026003,0.155107
5700,1,0.025,0,0.549602,0,0.519175,0.728277,0,0,0.021941,0.144377
2870,0,0.025,0,0.239253,0,0.489365,0.796287,0,0,0.033805,0.060852
4812,1,0,0.08,0.065195,0,0.480296,0.814142,0,0,0.066891,0.048862
463,1,0,0,0.119762,0,0.581966,0.641142,0,0,0,0.124893
6402,0,0.125,0.16,0.120393,0,0.521774,0.770848,0,0,0.125954,0.123582
3210,1,0,0,0.285927,0,0.596571,0.608443,0,0,0.058896,0.153168
5033,0,0.1,0.04,0.082186,0,0.475432,0.802488,0,0,0.069038,0.102525
4878,1,0,0.08,0.055567,0,0.532328,0.740532,0,0,0.048909,0.08625
6852,0,0.075,0.08,0.125422,0,0.405588,0.891977,0,0,0.078113,0.055473
365,0,0,0,0.031326,0,0.576937,0.707719,0,0,0,0.076611
5473,1,0.05,0,0.149258,0,0.559557,0.646908,0,0,0.043883,0.156664
3849,1,0.075,0.12,0.083801,0,0.500251,0.760092,0,0,0.095105,0.154386
4155,0,0.075,0.04,0.078903,0,0.546755,0.722752,0,0,0.059809,0.112757
350,0,0,0,0.03429,0,0.648863,0.600401,0,0,0,0.129684
2116,1,0.075,0.12,0.078527,0,0.630126,0.535225,0,0,0.069886,0.171941
1065,1,0.025,0,0.036883,0,0.608455,0.522111,0,0,0.033805,0.174357
2226,0,0.025,0,0.031794,0,0.866135,0.214083,0,0,0.033805,0.281819
5109,1,0.05,0.12,0.11715,0,0.481656,0.742774,0,0,0.098923,0.099521
5431,0,0.1,0,0.076784,0,0.608958,0.713619,0,0,0.075657,0.126015
33,1,0.125,0.16,0.207296,0,0.514649,0.655015,0,0,0.147215,0.205485
4408,0,0.075,0,0.216095,0,0.442927,0.857777,0,0,0.055747,0.041611
329,0,0.025,0,0.061097,0,0.482129,0.832383,0,0,0.026106,0.059118
3293,1,0.125,0,0.112586,0,0.574132,0.618686,0,0,0.088768,0.295387
1296,1,0.1,0.08,0.074214,0,0.62932,0.556214,0,0,0.109077,0.253293
2933,0,0.075,0,0.100247,0,0.448928,0.828761,0,0,0.077688,0.087434
3570,0,0.025,0.04,0.067663,0,0.485676,0.799958,0,0,0.041569,0.074183
5490,1,0.05,0,0.067046,0,0.555299,0.640704,0,0,0.043883,0.153815
958,0,0,0,0.108353,0,0.568633,0.732433,0,0,0.091121,0.101974
4954,1,0.025,0.08,0.084964,0,0.482306,0.824441,0,0,0.059449,0.041005
4190,0,0.075,0.04,0.071651,0,0.632225,0.58122,0,0,0.054397,0.2515
5274,1,0.025,0.04,0.208426,0,0.574634,0.671945,0,0,0.037405,0.169912
434,0,0.05,0,0.05805,0,0.530259,0.790453,0,0,0.008329,0.116456
